Medpc Press Ind,Python Down Index,Python Up Index
0,1526,1870
1,3633,4126
2,8665,9399
3,9624,9948
4,11643,13066
5,13177,13725
6,22548,24173
7,31930,32378
8,33968,34988
9,34981,35559
10,35554,36245
11,44744,45148
12,69524,69800
13,False negative,False negative
14,86492,87044
15,88155,88438
16,103729,104253
17,105186,106113
18,107144,109301
19,111144,111381
20,111377,111513
21,118078,118319
22,123756,124281
23,126192,126510
24,127488,128393
25,129736,130476
26,131716,132075
27,138566,138885
28,140369*,140778
29,142808,143359
30,143427,144284
31,157532,158312
32,158305,159026
33,159795,160210
34,176300,176594
35,184434,184957
36,205390,205785
37,227632,228059
38,228922,229724
39,257820,258098
40,273610,274300
41,275735,276596
42,276588,277062
43,287954,288296
44,309603,309797
45,340741,342397
46,343862,344552
47,344596,344959
48,457691,458172
49,461703,462126
50,463539,463955
51,487988,488446*
52,515058,515707
53,518376,518830
54,664218,664874
55,668680,669028
56,678685,679012
57,758228,758692
58,False negative,False negative
59,781824,782635
60,788106,788414
61,789303,789706
62,806358,806930
63,820170,820691
64,828157,828587
65,842811,843205
66,859362,859619
67,860633,861372
68,868990,869535
69,883301,883669
70,885486,886231
71,887368,888242
72,890559,890819
73,893566,894279
74,903747,904544
75,905521,906349
76,907136,908304
77,910040,910933
78,911862,913826
79,927873,928195
80,940609,941433
81,945872,946439
82,947656,947944
83,949171,949558
84,958206,958900
85,959860,961650
86,963361,964097
87,964394,964667
88,995128,995384
89,995378,995798
90,997457,997688
91,997682,998372
92,999248,1000086
93,1000158,1000739
94,1011600,1011889
95,1038758,1039215
96,1041540,1042023
97,1062373,1062739
98,1063874,1064649
99,1066274,1066744
100,1067421,1067878
101,1069800,1071315
102,1072241,1073163
103,1073602,1073899
104,1087608,1088186
105,1094575,1094979
106,1159491,1159885
107,1277305,1277956
108,1294724,1294891
109,1294885,1295417
110,1302592,1303011
111,1304836,1305678
112,1350559,1351043
113,1352281,1352564
114,1362265,1362672
115,1366090,1366413
116,1390560,1390817
117,1400048,1400585
118,1402130,1402618
119,1410066,1410385
120,1414219,1414425
121,1414419,1414911
122,1419041,1419703
123,1420632,1421135
124,1500930,1501360
125,1503052,1503885
126,1508675,1509259
127,1509254,1510683
128,1511823,1512805
129,1518333,1519791
130,1519793,1520698
131,1521714,1521900
132,1521977,1523380
133,1529937,1530338
134,1550040,1550607
135,1552621*,1553077
136,1567521,1568091
137,1575090,1575645
138,1577226,1578545
139,1578539,1578949
140,1598329,1598663
141,1606164,1606730
142,1607045,1607842
143,1609164,1610188
144,1610182,1610418
145,1616383,1617030
146,1617921,1618664
147,1619903,1620067
148,1620061,1621080
149,1627747,1629146
150,1629740,1630659
151,1633929,Missed
152,Missed,1636150
153,1636143,1636506
154,1643084*,1643839
155,1643879,1644239
156,1646725,1648244
157,1648241,1649158
158,1649298,1650033
159,1653074,1653757
160,1654620,1655635
161,1656733,1656994
162,1681737,1681836*
163,1681737,1682012
164,1699241,1699685
165,1700642,1700962
166,1701896,1702480
167,1704635,1706603
168,1715105,1715535
169,1715597,1716942
170,1717850,1718413
171,1723800,1724175
172,1763237,1763853
173,1769764,1769987
174,1781864,1782823
175,1784906,1785534
176,1785695,1787402
177,1788627,1789458
178,1790159,1791361
179,1793309,1794101
180,1799172,1799751
181,1801129,1802692
182,1804625,1805218
183,1843895,1844162
184,1848387,1848747
185,1877833,1878155
186,1886702,1887098
187,1914916,1915338
188,1917332,1918477
189,1922839,1923405
190,1927893,1928790
191,1931193,1933736
192,1937788,1938817
193,1938811,1939919
194,1949699,1950153
195,1966111,1966410
196,1968787,1969155
197,1970711,1971531
198,1974360,1974749
199,1976948,1978538
200,1981466,1982447
201,1982600,1983440
202,1984333,1984823
203,1984899,1986355
204,1987568,1987894
205,1997884,1999063
206,2006087,2006749
207,2007275,2007666
208,2008459,2009260
209,2011777,2012301
210,2016423,2016761
211,2019765,2020696
212,2048888,2049178
213,2089053,2089495
214,2093301,2093570
215,2094412,2095273
216,2098013,2098612
217,2098837,2100044
218,2101268,2102065
219,2102931,2103900
220,2107498,2107962
221,2109062,2110064
222,2110910,2111269
223,2112274,2112850
224,2113569,2114857
225,2118667,2119644
226,2120842,2122342
227,2122336,2122471
228,2122530,2122743
229,2122809,2122886
230,2122880,2123697
231,2126096,2127459
232,2129352,2130356
233,2148306,2148664
234,2148661,2149321
235,2162103,2162731
236,2162727,2162991
237,2175016,2175893
238,2186119,2186874
239,2188744,2189200
240,2190908,2191397
241,2198313,2199025
242,2199019,2199659
243,2199760*,2200142
244,2202078,2203358
245,2203353,2203998
246,2204238,2204451
247,2219552,2219965
248,2221842,2222195
249,2229194,2229413
250,2243468,2243812
251,2248161,2248829
252,2256507,2257001
253,2256796,2256802
254,2267726*,2267999
255,2276513,2276938
256,2277144,2277963
257,2285699,2286860
258,2288646,2289816
259,2294059,2294548
260,2295665,2296818
261,2298407,2299943
262,2299936,2300190
263,2300718,2301202
264,2305690,2306580
265,2306984,2307721
266,False negative,False negative
267,2330023,2330656
268,2467751,2468061
269,2522958,2523370*
270,2523446,2523907
271,2528986,2529309
272,2530363,2531141
273,2534000,2534381
274,2558759*,2559037
275,2595557,2596632
276,2596627,2596800
277,2596846,2597511
278,2601198,2602545
279,2604917,2605557
280,2608470,2609137
281,2609341,2609731
282,2611191*,2611773
283,2611808,2613012
284,2617849,2619429
285,2623071,2624274
286,2625170,2626052
287,2628765,2629326
288,2629474,2629954
289,2636711,2636979
290,2637720,2638270
291,2658199,2658575
292,2673899,2674563
293,2674802,2675157
294,2676789,2677613
295,2681235,2681747
296,2690054,2690767
297,2691836,2692353
298,2694526,Missed
299,Missed,2696558
300,2699444,2700102
301,2700096,2700428
302,2700425,2702208
303,2703835,2704070
304,2711085,2711691
305,2712037,2713289
306,2714380,2714905
307,2714970,2715349
308,2715344,2715999
309,2721893,2722468
310,2722542,2722739
311,2722804,2724244
312,2725810,2726655
313,2726650,Missed
314,Missed,2727174
315,2730248,2730351
316,2730358,2731064
317,2730326,2730326
318,2730329,2731064
319,2732123,Missed
320,Missed,2732922
321,2733056,2734178
322,2740021,2741111
323,2741105,Missed
324,Missed,2741823
325,2746232,2746463
326,2746458,2747495
327,2747490,2749100
328,2749396*,2750086
329,2751058,2751729
330,2752635,2753162
331,2753157,2753907
332,2756797,2757288
333,2759009,2761207
334,2764059,2764805
335,2767946,2768426
336,2768765,2769421
337,2769414,2770147
338,2770141,2770462
339,2770660,2771093
340,2774266,2774716
341,2774709,2774939
342,2774932,2775145
343,2776432,2776935
344,2778474,2779215
345,2779720,2781341
346,2781914,2782794
347,2785696,2786286
348,2786442,2786753
349,2786747,2787699
350,2788346,2789402
351,2792912,2793610
352,2794965,2795508
353,2795501,2796424
354,2886143,2886513
355,2896353,2896760
356,2897373,2897935
357,2899303,2899652
358,2899647,2900461
359,2902295,2902824
360,2906559,2907341
361,2916492,2916763
362,2989195,2989589